t,x_a,y_a,z_a,x_b,y_b,z_b,separation
0.77500,-4.638013,-5.963659,19.720239,-4.638013,-5.963659,19.720239,0.0000000090
0.78000,-4.706693,-6.128274,19.599345,-4.706693,-6.128274,19.599345,0.0000000092
0.78500,-4.780173,-6.297796,19.486122,-4.780173,-6.297796,19.486122,0.0000000094
0.79000,-4.858459,-6.472299,19.380859,-4.858459,-6.472299,19.380859,0.0000000097
0.79500,-4.941561,-6.651851,19.283857,-4.941561,-6.651851,19.283857,0.0000000099
0.80000,-5.029492,-6.836511,19.195437,-5.029492,-6.836511,19.195437,0.0000000102
0.80500,-5.122268,-7.026324,19.115936,-5.122268,-7.026324,19.115936,0.0000000104
0.81000,-5.219903,-7.221321,19.045707,-5.219903,-7.221321,19.045707,0.0000000107
0.81500,-5.322415,-7.421518,18.985123,-5.322415,-7.421518,18.985123,0.0000000109
0.82000,-5.429819,-7.626911,18.934574,-5.429819,-7.626911,18.934574,0.0000000112
0.82500,-5.542129,-7.837473,18.894468,-5.542129,-7.837473,18.894468,0.0000000115
0.83000,-5.659356,-8.053155,18.865229,-5.659356,-8.053155,18.865229,0.0000000117
0.83500,-5.781510,-8.273880,18.847302,-5.781510,-8.273880,18.847302,0.0000000120
0.84000,-5.908593,-8.499539,18.841146,-5.908593,-8.499539,18.841146,0.0000000123
0.84500,-6.040603,-8.729991,18.847236,-6.040603,-8.729990,18.847236,0.0000000126
0.85000,-6.177527,-8.965055,18.866062,-6.177527,-8.965055,18.866062,0.0000000129
0.85500,-6.319347,-9.204510,18.898129,-6.319347,-9.204510,18.898129,0.0000000132
0.86000,-6.466031,-9.448092,18.943950,-6.466031,-9.448092,18.943950,0.0000000135
0.86500,-6.617536,-9.695483,19.004049,-6.617536,-9.695483,19.004049,0.0000000137
0.87000,-6.773804,-9.946315,19.078955,-6.773804,-9.946315,19.078955,0.0000000140
0.87500,-6.934760,-10.200162,19.169198,-6.934760,-10.200162,19.169198,0.0000000143
0.88000,-7.100310,-10.456535,19.275309,-7.100310,-10.456535,19.275309,0.0000000146
0.88500,-7.270340,-10.714880,19.397809,-7.270340,-10.714880,19.397809,0.0000000149
0.89000,-7.444714,-10.974574,19.537210,-7.444714,-10.974574,19.537210,0.0000000152
0.89500,-7.623268,-11.234920,19.694003,-7.623268,-11.234920,19.694003,0.0000000155
0.90000,-7.805811,-11.495142,19.868655,-7.805811,-11.495142,19.868655,0.0000000157
0.90500,-7.992122,-11.754388,20.061599,-7.992122,-11.754388,20.061599,0.0000000160
0.91000,-8.181947,-12.011719,20.273226,-8.181947,-12.011719,20.273226,0.0000000162
0.91500,-8.374996,-12.266117,20.503875,-8.374996,-12.266117,20.503875,0.0000000165
0.92000,-8.570943,-12.516476,20.753824,-8.570943,-12.516476,20.753824,0.0000000167
0.92500,-8.769420,-12.761608,21.023274,-8.769420,-12.761608,21.023274,0.0000000169
0.93000,-8.970018,-13.000241,21.312346,-8.970018,-13.000241,21.312346,0.0000000171
0.93500,-9.172284,-13.231026,21.621058,-9.172284,-13.231026,21.621058,0.0000000173
0.94000,-9.375718,-13.452539,21.949322,-9.375718,-13.452539,21.949322,0.0000000175
0.94500,-9.579776,-13.663288,22.296922,-9.579776,-13.663288,22.296922,0.0000000176
0.95000,-9.783864,-13.861723,22.663509,-9.783864,-13.861723,22.663509,0.0000000178
0.95500,-9.987340,-14.046247,23.048581,-9.987340,-14.046247,23.048581,0.0000000179
0.96000,-10.189517,-14.215227,23.451477,-10.189517,-14.215227,23.451477,0.0000000180
0.96500,-10.389659,-14.367015,23.871363,-10.389659,-14.367015,23.871363,0.0000000180
0.97000,-10.586986,-14.499960,24.307221,-10.586986,-14.499960,24.307221,0.0000000181
0.97500,-10.780676,-14.612432,24.757844,-10.780676,-14.612432,24.757844,0.0000000181
0.98000,-10.969868,-14.702843,25.221830,-10.969868,-14.702843,25.221830,0.0000000181
