renorm_step,running_lambda
618,0.814471
619,0.815583
620,0.816523
621,0.815180
622,0.810656
623,0.806753
624,0.803054
625,0.797086
626,0.792852
627,0.792428
628,0.794801
629,0.799376
630,0.805986
631,0.814346
632,0.824094
633,0.834911
634,0.846525
635,0.858659
636,0.870923
637,0.882592
638,0.892203
639,0.897197
640,0.895572
641,0.889875
642,0.881770
643,0.870696
644,0.858911
645,0.849127
646,0.841976
647,0.836299
648,0.830975
649,0.825591
650,0.821344
651,0.822506
652,0.829207
653,0.833970
654,0.833074
655,0.829225
656,0.825750
657,0.822113
658,0.818330
659,0.815614
660,0.814941
661,0.816622
662,0.820491
663,0.826064
664,0.832614
665,0.839148
666,0.844213
667,0.845843
668,0.842964
669,0.838447
670,0.833696
671,0.826630
672,0.819000
673,0.813934
674,0.812538
675,0.814513
676,0.819510
677,0.826984
678,0.836225
679,0.846652
680,0.857888
681,0.869659
682,0.881682
683,0.893485
684,0.904098
685,0.911561
686,0.913193
687,0.909121
688,0.902360
689,0.892591
690,0.880901
691,0.869987
692,0.861501
693,0.854953
694,0.849274
695,0.844705
696,0.844106
697,0.849443
698,0.856095
699,0.859026
700,0.857062
701,0.853332
702,0.850214
703,0.846494
704,0.842029
705,0.837757
706,0.834305
707,0.831782
708,0.830064
709,0.828887
710,0.827689
711,0.825494
712,0.821558
713,0.818279
714,0.818389
715,0.816754
716,0.812944
717,0.810688
718,0.810814
719,0.812755
720,0.816451
721,0.821833
722,0.828596
723,0.836351
724,0.844678
725,0.853025
726,0.860501
727,0.865596
728,0.866403
729,0.862966
730,0.858509
731,0.852714
732,0.844900
733,0.837241
734,0.831815
735,0.829101
736,0.829097
737,0.832050
738,0.837845
739,0.845795
740,0.855147
741,0.865369
742,0.876101
743,0.886985
744,0.897428
745,0.906213
746,0.911108
747,0.910120
748,0.905155
749,0.897796
750,0.887726
751,0.876950
752,0.867877
753,0.861147
754,0.855727
755,0.850755
756,0.846911
757,0.847339
758,0.852770
759,0.857904
760,0.858802
761,0.855928
762,0.852782
763,0.850054
764,0.846698
765,0.843114
766,0.840113
767,0.838083
768,0.837044
769,0.836833
770,0.837051
771,0.836916
772,0.835273
773,0.831637
774,0.828892
775,0.827952
776,0.824830
777,0.820912
778,0.819298
779,0.820215
780,0.823013
781,0.827445
782,0.833254
783,0.840074
784,0.847506
785,0.855061
786,0.861993
787,0.867053
788,0.868523
789,0.865875
790,0.861906
791,0.857209
792,0.850532
793,0.843432
794,0.838044
795,0.835180
796,0.834946
797,0.837573
798,0.842951
799,0.850406
800,0.859199
801,0.868852
802,0.879100
803,0.889799
804,0.900849
805,0.912160
806,0.923610
807,0.934956
808,0.945630
809,0.954275
810,0.958376
811,0.956368
812,0.950482
813,0.941368
814,0.929824
815,0.918046
816,0.907972
817,0.900281
818,0.895363
819,0.895068
820,0.899075
821,0.903352
822,0.904902
823,0.903031
824,0.899840
825,0.897991
826,0.896431
827,0.893799
828,0.890240
829,0.886194
830,0.882043
831,0.878845
832,0.879017
833,0.883099
834,0.887595
835,0.889392
836,0.887673
837,0.884545
838,0.882594
839,0.880811
840,0.878051
841,0.874552
842,0.870712
843,0.866683
844,0.862909
845,0.861292
846,0.864067
847,0.868928
848,0.871774
849,0.870916
850,0.867895
851,0.865630
852,0.863781
853,0.861202
854,0.858087
855,0.854859
856,0.851567
857,0.848013
858,0.844208
859,0.841590
860,0.843251
861,0.847516
862,0.849349
863,0.847511
864,0.844692
865,0.842851
866,0.841182
867,0.839431
868,0.838078
869,0.837441
870,0.837498
871,0.837981
872,0.838379
873,0.837886
874,0.835642
875,0.832319
876,0.830988
877,0.829973
878,0.826760
879,0.823551
880,0.822643
881,0.823935
882,0.826813
883,0.830926
884,0.835913
885,0.841343
886,0.846682
887,0.851147
888,0.853583
889,0.852836
890,0.849701
891,0.846848
892,0.843254
893,0.838053
894,0.832946
895,0.829759
896,0.829262
897,0.831584
898,0.836342
899,0.842702
900,0.849829
901,0.857023
902,0.863476
903,0.867965
904,0.868947
905,0.866355
906,0.862793
907,0.858266
908,0.852072
909,0.845684
910,0.840662
911,0.837454
912,0.836117
913,0.837082
914,0.840683
915,0.846544
916,0.853913
917,0.862190
918,0.871027
919,0.880207
920,0.889505
921,0.898532
922,0.906433
923,0.911496
924,0.911721
925,0.907975
926,0.901978
927,0.893545
928,0.884137
929,0.875777
930,0.869359
931,0.864333
932,0.860449
933,0.859381
934,0.862636
935,0.867296
936,0.869750
937,0.868745
938,0.865975
939,0.863897
940,0.861869
941,0.859077
942,0.855892
943,0.852728
944,0.849612
945,0.846338
946,0.842858
947,0.840277
948,0.841493
949,0.845617
950,0.847824
951,0.846484
952,0.843865
953,0.841946
954,0.840120
955,0.838229
956,0.836834
957,0.836341
958,0.836812
959,0.838076
960,0.839754
961,0.841188
962,0.841403
963,0.839502
964,0.836523
965,0.834857
966,0.832452
967,0.828574
968,0.825667
969,0.825240
970,0.826979
971,0.830363
972,0.834996
973,0.840468
974,0.846367
975,0.852222
976,0.857338
977,0.860608
978,0.860752
979,0.858075
980,0.855020
981,0.851148
982,0.845795
983,0.840458
984,0.836670
985,0.834977
986,0.835597
987,0.838684
988,0.843878
989,0.850470
990,0.857870
991,0.865690
992,0.873588
993,0.881049
994,0.887082
995,0.890021
996,0.888739
997,0.885047
998,0.879841
999,0.872778
1000,0.865307
1001,0.859072
1002,0.854413
1003,0.850624
1004,0.847056
1005,0.843567
1006,0.841248
1007,0.842886
1008,0.847703
1009,0.850931
1010,0.850400
1011,0.847841
1012,0.845375
1013,0.842601
1014,0.839578
1015,0.837180
1016,0.836139
1017,0.836757
1018,0.839009
1019,0.842627
1020,0.847164
1021,0.852042
1022,0.856471
1023,0.859279
1024,0.859140
1025,0.856401
1026,0.853297
1027,0.849094
1028,0.843635
1029,0.838889
1030,0.836316
1031,0.835983
1032,0.837688
1033,0.841284
1034,0.846418
1035,0.852643
1036,0.859613
1037,0.867100
1038,0.874939
1039,0.882955
1040,0.890853
1041,0.898013
1042,0.903150
1043,0.904432
1044,0.901803
1045,0.897224
1046,0.890555
1047,0.882578
1048,0.875112
1049,0.869295
1050,0.864819
1051,0.861013
1052,0.858330
1053,0.858887
1054,0.862847
1055,0.866638
1056,0.867601
1057,0.865716
1058,0.863376
1059,0.861517
1060,0.859176
1061,0.856374
1062,0.853643
1063,0.851239
1064,0.849097
1065,0.846986
1066,0.844584
1067,0.841661
1068,0.839251
1069,0.840220
1070,0.842386
1071,0.841799
1072,0.839559
1073,0.837987
1074,0.837163
1075,0.836937
1076,0.837670
1077,0.839576
1078,0.842549
1079,0.846310
1080,0.850489
1081,0.854580
1082,0.857812
1083,0.859087
1084,0.857636
1085,0.854905
1086,0.852350
1087,0.848548
1088,0.843907
1089,0.840281
1090,0.838773
1091,0.839495
1092,0.842287
1093,0.846758
1094,0.852357
1095,0.858606
1096,0.865135
1097,0.871528
1098,0.877106
1099,0.880686
1100,0.880908
1101,0.878297
1102,0.874789
