t,x,y,z
0.97000,-10.586986,-14.499960,24.307221
0.97500,-10.780676,-14.612432,24.757844
0.98000,-10.969868,-14.702843,25.221830
0.98500,-11.153670,-14.769672,25.697578
0.99000,-11.331157,-14.811493,26.183290
0.99500,-11.501385,-14.826999,26.676975
1.00000,-11.663397,-14.815030,27.176460
1.00500,-11.816227,-14.774605,27.679396
1.01000,-11.958916,-14.704944,28.183286
1.01500,-12.090518,-14.605493,28.685497
1.02000,-12.210112,-14.475952,29.183292
1.02500,-12.316815,-14.316289,29.673859
1.03000,-12.409790,-14.126756,30.154346
1.03500,-12.488264,-13.907904,30.621895
1.04000,-12.551533,-13.660581,31.073687
1.04500,-12.598977,-13.385936,31.506978
1.05000,-12.630070,-13.085406,31.919140
1.05500,-12.644387,-12.760708,32.307703
1.06000,-12.641617,-12.413814,32.670392
1.06500,-12.621562,-12.046926,33.005158
1.07000,-12.584149,-11.662445,33.310214
1.07500,-12.529430,-11.262934,33.584052
1.08000,-12.457580,-10.851078,33.825471
1.08500,-12.368900,-10.429642,34.033578
1.09000,-12.263814,-10.001431,34.207803
1.09500,-12.142860,-9.569242,34.347895
1.10000,-12.006686,-9.135828,34.453909
1.10500,-11.856040,-8.703854,34.526199
1.11000,-11.691761,-8.275866,34.565397
1.11500,-11.514769,-7.854254,34.572384
1.12000,-11.326049,-7.441234,34.548270
1.12500,-11.126642,-7.038818,34.494358
1.13000,-10.917633,-6.648804,34.412118
1.13500,-10.700134,-6.272764,34.303146
1.14000,-10.475274,-5.912040,34.169140
1.14500,-10.244188,-5.567742,34.011868
1.15000,-10.008003,-5.240753,33.833132
1.15500,-9.767830,-4.931741,33.634751
1.16000,-9.524750,-4.641163,33.418527
1.16500,-9.279814,-4.369286,33.186232
1.17000,-9.034025,-4.116199,32.939585
1.17500,-8.788341,-3.881832,32.680240
1.18000,-8.543666,-3.665973,32.409772
1.18500,-8.300844,-3.468286,32.129669
1.19000,-8.060662,-3.288330,31.841327
1.19500,-7.823842,-3.125577,31.546045
1.20000,-7.591045,-2.979427,31.245024
1.20500,-7.362869,-2.849226,30.939366
1.21000,-7.139849,-2.734276,30.630079
1.21500,-6.922460,-2.633855,30.318077
1.22000,-6.711117,-2.547221,30.004185
1.22500,-6.506181,-2.473631,29.689146
1.23000,-6.307955,-2.412340,29.373622
1.23500,-6.116696,-2.362619,29.058204
1.24000,-5.932609,-2.323752,28.743414
